Model,Dataset,ECE,ACE,Accuracy
BLIP_retrieval_large_coco,mnist,0.07540619373321533,0.07540176808834076,0.5617170448068806
BLIP_retrieval_large_coco,pcam,0.42400413751602173,0.4240078032016754,0.5235793354190418
BLIP_retrieval_large_coco,pets,0.12323447316884995,0.12260131537914276,0.7388368212392306
BLIP_retrieval_large_coco,renderedsst2,0.4679359197616577,0.46818360686302185,0.49835526315789475
BLIP_retrieval_large_coco,resisc45,0.22705237567424774,0.22705231606960297,0.5782619577474072
BLIP_retrieval_large_coco,stl10,0.011791065335273743,0.01136457547545433,0.978875
BLIP_retrieval_large_coco,sun397,0.19144052267074585,0.19144687056541443,0.6253140340658722
BLIP_retrieval_large_coco,svhn,0.3832860589027405,0.3833381235599518,0.2831096256079727
BLIP_retrieval_large_coco,voc2007,0.17239579558372498,0.1723356992006302,0.8658003965392336
ViT-B-16-plus-240_laion400m_e32,cars,0.012444822117686272,0.012895806692540646,0.8456145562406674
ViT-B-16-plus-240_laion400m_e32,cifar100,0.11488468199968338,0.11499819904565811,0.7414000000000001
ViT-B-16-plus-240_laion400m_e32,clevr_closest_object_distance,0.8120110630989075,0.8118867874145508,0.16754859237739503
ViT-B-16-plus-240_laion400m_e32,clevr_count_all,0.35463348031044006,0.3546334505081177,0.1904937962434365
ViT-B-16-plus-240_laion400m_e32,country211,0.30502888560295105,0.30498409271240234,0.18928909952606637
ViT-B-16-plus-240_laion400m_e32,diabetic_retinopathy,0.1871894747018814,0.18717540800571442,0.2131113277566617
ViT-B-16-plus-240_laion400m_e32,dmlab,0.44843029975891113,0.4482870399951935,0.14870336252574154
ViT-B-16-plus-240_laion400m_e32,dtd,0.20357099175453186,0.20320001244544983,0.5579787234042554
ViT-B-16-plus-240_laion400m_e32,eurosat,0.11302650719881058,0.11545130610466003,0.6040443254026682
ViT-B-16-plus-240_laion400m_e32,fer2013,0.5188248157501221,0.5187224745750427,0.18173228835654562
ViT-B-16-plus-240_laion400m_e32,flowers,0.08456426113843918,0.08475526422262192,0.6922259419572686
ViT-B-16-plus-240_laion400m_e32,gtsrb,0.1054392084479332,0.1054873913526535,0.4304821460230965
ViT-B-16-plus-240_laion400m_e32,kitti_closest_vehicle_distance,0.48605966567993164,0.48396745324134827,0.4056236657450829
