Model,Dataset,ECE,ACE,Accuracy
RN50x64_openai,cars,0.017330152913928032,0.014719847589731216,0.7596530684661601
RN50x64_openai,cifar100,0.07442451268434525,0.07510526478290558,0.6091
RN50x64_openai,clevr_closest_object_distance,0.18822480738162994,0.18822480738162994,0.1658254519120941
RN50x64_openai,clevr_count_all,0.03756796568632126,0.03713848814368248,0.2670455668512745
RN50x64_openai,country211,0.0997295007109642,0.09975242614746094,0.2980568720379147
RN50x64_openai,diabetic_retinopathy,0.2799554169178009,0.2799406349658966,0.20986264084634762
RN50x64_openai,dmlab,0.36245018243789673,0.3622662127017975,0.16431936893349633
RN50x64_openai,dtd,0.08413145691156387,0.07812424004077911,0.5319148936170213
RN50x64_openai,eurosat,0.05364072322845459,0.05322282761335373,0.5898731375155257
RN50x64_openai,fer2013,0.1377188116312027,0.13769130408763885,0.32142126166759427
RN50x64_openai,flowers,0.030020778998732567,0.03538868948817253,0.7543469168846073
RN50x64_openai,gtsrb,0.10564316064119339,0.10683843493461609,0.39075078856095047
RN50x64_openai,kitti_closest_vehicle_distance,0.40058571100234985,0.389504998922348,0.28953654017836505
RN50x64_openai,mnist,0.34712761640548706,0.3471275866031647,0.853482255457369
RN50x64_openai,pcam,0.2424623966217041,0.24247795343399048,0.548893570511732
RN50x64_openai,pets,0.018796229735016823,0.018027449026703835,0.9366848490803908
RN50x64_openai,renderedsst2,0.02260785549879074,0.02988411672413349,0.7110817989693706
RN50x64_openai,resisc45,0.01652650348842144,0.01673087291419506,0.6968258141601669
RN50x64_openai,stl10,0.02093498408794403,0.01903672143816948,0.9828749999999999
RN50x64_openai,sun397,0.03589143604040146,0.03621520474553108,0.6720275517843807
RN50x64_openai,svhn,0.13356980681419373,0.13463452458381653,0.4972001171252793
RN50x64_openai,voc2007,0.031188305467367172,0.03008667565882206,0.8063880739805723
BLIP_retrieval_large_coco,cars,0.06973118335008621,0.06905178725719452,0.6279137434151969
BLIP_retrieval_large_coco,cifar100,0.13852152228355408,0.13865722715854645,0.7608
BLIP_retrieval_large_coco,clevr_closest_object_distance,0.3811835050582886,0.3811742663383484,0.23061592133373807
BLIP_retrieval_large_coco,clevr_count_all,0.2487671673297882,0.2485557645559311,0.24085207618191504
BLIP_retrieval_large_coco,country211,0.3695358633995056,0.3694297671318054,0.09127962085308057
BLIP_retrieval_large_coco,diabetic_retinopathy,0.2922663390636444,0.2921505272388458,0.1974307431231436
BLIP_retrieval_large_coco,dmlab,0.565473735332489,0.5653299689292908,0.1423251789309764
BLIP_retrieval_large_coco,dtd,0.27487912774086,0.27491796016693115,0.5324468085106383
BLIP_retrieval_large_coco,eurosat,0.23289518058300018,0.23289518058300018,0.49591487467965223
BLIP_retrieval_large_coco,fer2013,0.49193769693374634,0.4918462932109833,0.2252635566438144
BLIP_retrieval_large_coco,flowers,0.18628954887390137,0.18667252361774445,0.5692801086931699
BLIP_retrieval_large_coco,gtsrb,0.17450223863124847,0.17450223863124847,0.36421394282794683
